row_index,ISO_TIME,LAT,LON,Variable,Value_Jianan,Value_Yohei,Abs_diff
0,2051-01-17 12:00:00,-17.16,165.94,RH_1000hPa,5.223916062940611e+33,0.8839310221134541,5.223916062940611e+33
0,2051-01-17 12:00:00,-17.16,165.94,SD_1000hPa,8.596046262589873e+33,0.0030025729562642,8.596046262589873e+33
1,2051-01-17 18:00:00,-17.16,165.94,RH_1000hPa,5.929850666040694e+33,0.8836747637428625,5.929850666040694e+33
1,2051-01-17 18:00:00,-17.16,165.94,SD_1000hPa,9.75767413591283e+33,0.0029327982819405,9.75767413591283e+33
2,2051-01-18 00:00:00,-17.72,165.94,RH_1000hPa,5.381146951812902e+33,0.8813815572412034,5.381146951812902e+33
2,2051-01-18 00:00:00,-17.72,165.94,SD_1000hPa,8.854772470739077e+33,0.0030361956773028,8.854772470739077e+33
3,2051-01-18 06:00:00,-18.28,165.94,RH_1000hPa,5.788663745420678e+33,0.8699403304465188,5.788663745420678e+33
3,2051-01-18 06:00:00,-18.28,165.94,SD_1000hPa,9.525348561248238e+33,0.0032910210662577,9.525348561248238e+33
4,2051-01-18 12:00:00,-18.28,165.94,RH_1000hPa,5.082729142320595e+33,0.8780227355392686,5.082729142320595e+33
4,2051-01-18 12:00:00,-18.28,165.94,SD_1000hPa,8.363720687925282e+33,0.0031300628375691,8.363720687925282e+33
5,2051-01-18 18:00:00,-18.84,165.94,RH_1000hPa,5.781940558724487e+33,0.8962018112119106,5.781940558724487e+33
5,2051-01-18 18:00:00,-18.84,165.94,SD_1000hPa,9.514285438645164e+33,0.0026184074441685,9.514285438645164e+33
6,2051-01-19 00:00:00,-19.41,165.38,RH_1000hPa,4.856830069328568e+33,0.8916417461466091,4.856830069328568e+33
6,2051-01-19 00:00:00,-19.41,165.38,SD_1000hPa,7.991999768461937e+33,0.0027196104423354,7.991999768461937e+33
7,2051-01-19 06:00:00,-19.97,165.38,RH_1000hPa,5.637392044756376e+33,0.902991358842058,5.637392044756376e+33
7,2051-01-19 06:00:00,-19.97,165.38,SD_1000hPa,9.276428302679034e+33,0.0023670309028139,9.276428302679034e+33
8,2051-01-19 12:00:00,-20.53,164.81,RH_1000hPa,5.059197988883926e+33,0.8879315824303319,5.059197988883926e+33
8,2051-01-19 12:00:00,-20.53,164.81,SD_1000hPa,8.324999758814517e+33,0.0027627342315488,8.324999758814517e+33
9,2051-01-19 18:00:00,-21.09,163.69,RH_1000hPa,5.365102983560627e+33,0.887743510438388,5.365102983560627e+33
9,2051-01-19 18:00:00,-21.09,163.69,SD_1000hPa,8.828371837254465e+33,0.002667986053226,8.828371837254465e+33
10,2051-01-20 00:00:00,-21.66,163.12,RH_1000hPa,4.5532781899955326e+33,0.868614186592296,4.5532781899955326e+33
10,2051-01-20 00:00:00,-21.66,163.12,SD_1000hPa,7.492499782933065e+33,0.0032838388761329,7.492499782933065e+33
11,2051-01-20 06:00:00,-22.22,162.56,RH_1000hPa,5.082729142320595e+33,0.8860038214773771,5.082729142320595e+33
11,2051-01-20 06:00:00,-22.22,162.56,SD_1000hPa,8.363720687925282e+33,0.0027319734880537,8.363720687925282e+33
